library|idx|hex.color|color|red|green|blue|alpha
R-657|226|#BABABA|gray73|186|186|186|255
R-657|227|#BDBDBD|gray74|189|189|189|255
R-657|228|#BFBFBF|gray75|191|191|191|255
R-657|229|#C2C2C2|gray76|194|194|194|255
R-657|230|#C4C4C4|gray77|196|196|196|255
R-657|231|#C7C7C7|gray78|199|199|199|255
R-657|232|#C9C9C9|gray79|201|201|201|255
R-657|161|#141414|gray8|20|20|20|255
R-657|233|#CCCCCC|gray80|204|204|204|255
R-657|234|#CFCFCF|gray81|207|207|207|255
R-657|235|#D1D1D1|gray82|209|209|209|255
R-657|236|#D4D4D4|gray83|212|212|212|255
R-657|237|#D6D6D6|gray84|214|214|214|255
R-657|238|#D9D9D9|gray85|217|217|217|255
R-657|239|#DBDBDB|gray86|219|219|219|255
R-657|240|#DEDEDE|gray87|222|222|222|255
R-657|241|#E0E0E0|gray88|224|224|224|255
R-657|242|#E3E3E3|gray89|227|227|227|255
R-657|162|#171717|gray9|23|23|23|255
R-657|243|#E5E5E5|gray90|229|229|229|255
R-657|244|#E8E8E8|gray91|232|232|232|255
R-657|245|#EBEBEB|gray92|235|235|235|255
R-657|246|#EDEDED|gray93|237|237|237|255
R-657|247|#F0F0F0|gray94|240|240|240|255
R-657|248|#F2F2F2|gray95|242|242|242|255
R-657|249|#F5F5F5|gray96|245|245|245|255
R-657|250|#F7F7F7|gray97|247|247|247|255
R-657|251|#FAFAFA|gray98|250|250|250|255
R-657|252|#FCFCFC|gray99|252|252|252|255
R-657|254|#00FF00|green|0|255|0|255
R-657|255|#00FF00|green1|0|255|0|255
R-657|256|#00EE00|green2|0|238|0|255
R-657|257|#00CD00|green3|0|205|0|255
R-657|258|#008B00|green4|0|139|0|255
R-657|259|#ADFF2F|greenyellow|173|255|47|255
R-657|260|#BEBEBE|grey|190|190|190|255
